"database","workload","nodes","threads","duration","throughput","readOperationCount","readAvgLatency","readMinLatency","readMaxLatency","readPer95Latency","readPer99Latency","insertOperationCount","insertAvgLatency","insertMinLatency","insertMaxLatency","insertPer95Latency","insertPer99Latency","updateOperationCount","updateAvgLatency","updateMinLatency","updateMaxLatency","updatePer95Latency","updatePer99Latency","rmwOperationCount","rmwAvgLatency","rmwMinLatency","rmwMaxLatency","rmwPer95Latency","rmwPer99Latency"
"Citus","C",3,57,60,629.830123,18688,182467.8655,648,6541311,1088511,1597439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citus","F",3,57,60,552.273438,16243,27440.84781,666,873471,141311,220159,0,0,0,0,0,0,8123,363170.5188,16112,22396927,749055,4460543,16899,189049.9682,1085,22396927,515583,1919999
"Citus","D",3,57,60,1298.312403,37434,39383.23276,554,1740799,293119,609791,2071,922251.9903,99712,3661823,2553855,3385343,0,0,0,0,0,0,0,0,0,0,0,0
"Citus","A",3,66,60,324.453122,4722,90092.62219,776,2383871,392191,649215,0,0,0,0,0,0,4756,728729.7796,37216,36569087,1105919,5500927,0,0,0,0,0,0
"Citus","B",3,66,60,476.590347,13501,219440.0054,699,3647487,1229823,1889279,0,0,0,0,0,0,695,1499584.737,198656,8667135,5865471,6885375,0,0,0,0,0,0
"Citus","C",3,66,60,622.579067,18384,215251.6284,648,5853183,1313791,2015231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citus","F",3,66,60,532.767087,16041,30127.42416,641,705535,155903,251263,0,0,0,0,0,0,7978,437754.9531,16736,23937023,744959,6406143,16597,226861.8488,1063,23937023,567295,2652159
"Citus","D",3,66,60,1235.730622,35295,50667.25859,576,2406399,386047,784383,1987,1071643.458,92864,5029887,2910207,3276799,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","A",1,3,60,30.117373,880,34940.81136,669,508415,76991,229375,0,0,0,0,0,0,929,160231.4575,50592,694271,250495,332031,0,0,0,0,0,0
"CockroachDB","B",1,3,60,101.732719,5807,21815.40468,595,565759,77183,107263,0,0,0,0,0,0,305,173674.2295,55520,840703,281599,349951,0,0,0,0,0,0
"CockroachDB","C",1,3,60,259.89303,15598,11507.54642,341,648703,42975,82047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","F",1,3,60,33.826955,2033,26591.7575,666,312319,78911,114751,0,0,0,0,0,0,1037,121139.7879,23264,282111,201599,248319,1037,147288.324,32432,364799,241151,301311
"CockroachDB","D",1,3,60,108.040201,6153,19245.20267,514,490495,77183,129727,340,179674.7294,67712,482047,295935,381695,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","A",1,12,60,56.106424,1839,48492.95269,642,1423359,119423,480255,0,0,0,0,0,0,1805,369021.5889,49024,21004287,450559,970751,0,0,0,0,0,0
"CockroachDB","B",1,12,60,154.619642,8835,60691.81573,520,892415,152063,236671,0,0,0,0,0,0,468,391555.0085,184704,1048063,553471,719359,0,0,0,0,0,0
"CockroachDB","C",1,12,60,378.959803,22777,31552.85064,472,1605631,136575,245887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","F",1,12,60,45.76947,3237,42091.32283,640,2981887,115711,407807,0,0,0,0,0,0,1620,421587.2889,46016,37781503,332287,1847295,1620,466380.721,46816,38469631,390143,2095103
"CockroachDB","D",1,12,60,193.054239,11013,44079.00781,519,978431,141439,226943,594,393270.8418,121856,1059839,525311,782335,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","A",1,21,60,8.252309,725,272078.9669,711,21315583,509439,9805823,0,0,0,0,0,0,734,4056178.365,25072,168689663,902143,159907839,0,0,0,0,0,0
"CockroachDB","B",1,21,60,56.831863,3257,285100.4087,392,9084927,710143,1053695,0,0,0,0,0,0,189,1769409.693,302848,8749055,2596863,4923391,0,0,0,0,0,0
"CockroachDB","C",1,21,60,64.184005,3890,324941.4368,542,3557375,955903,1528831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","F",1,21,60,12.498983,1536,172065.7409,702,24199167,212735,3737599,0,0,0,0,0,0,769,2446015.563,46016,118030335,600575,91422719,769,2597519.646,46880,118358015,686591,98697215
"CockroachDB","D",1,21,60,67.612083,3907,230723.6957,538,3448831,711167,1096703,198,1827238.788,741376,4235263,2936831,3997695,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","A",1,30,60,4.851957,737,528985.4464,642,39026687,1570815,17285119,0,0,0,0,0,0,708,9101941.718,48288,287309823,2547711,264110079,0,0,0,0,0,0
"CockroachDB","B",1,30,60,57.849473,3341,404444.7085,585,4952063,1057791,1608703,0,0,0,0,0,0,177,2571368.136,645632,6094847,3688447,5558271,0,0,0,0,0,0
"CockroachDB","C",1,30,60,65.223097,3976,455463.3297,488,7294975,1262591,1918975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","F",1,30,60,5.72042,2531,166217.4137,611,29048831,260735,3631103,0,0,0,0,0,0,1241,8047752.226,37184,430440447,717311,378535935,1241,8245285.376,47616,430702591,913407,379322367
"CockroachDB","D",1,30,60,66.069264,3854,353014.644,540,4947967,1108991,1913855,179,2511670.346,794112,5423103,3979263,4612095,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","A",1,39,60,7.849784,996,595613.0934,674,21069823,2588671,11706367,0,0,0,0,0,0,889,6100530.034,49696,221642751,12328959,180355071,0,0,0,0,0,0
"CockroachDB","B",1,39,60,57.797806,3354,535324.2871,571,5066751,1524735,2381823,0,0,0,0,0,0,186,3051423.656,887808,6135807,4780031,5627903,0,0,0,0,0,0
"CockroachDB","C",1,39,60,318.180309,19164,121984.7231,326,5468159,491775,942079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","F",1,39,60,2.553382,2438,245856.2642,550,28000255,244991,6164479,0,0,0,0,0,0,1174,19922299.56,47520,948961279,797183,871366655,1176,20667479.67,48480,950009855,891391,877133823
"CockroachDB","D",1,39,60,74.268739,4317,392659.8135,540,7569407,1333247,2209791,233,2859676.017,793088,7356415,4984831,5791743,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","A",1,48,60,2.089767,1469,377810.7726,585,38371327,559103,7356415,0,0,0,0,0,0,1461,31578581.38,37728,1393557503,1159167,1344274431,0,0,0,0,0,0
"CockroachDB","B",1,48,60,64.761843,3812,602186.511,515,16433151,1738751,4501503,0,0,0,0,0,0,184,3334413.913,561664,23805951,5971967,6434815,0,0,0,0,0,0
"CockroachDB","C",1,48,60,399.711471,24105,119393.3477,317,2449407,451839,747007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","F",1,48,60,1.142273,2431,220094.32,586,20430847,257407,5660671,0,0,0,0,0,0,1157,75045870.09,37984,2124414975,914431,2095054847,1157,75303338.03,45056,2124414975,1069055,2098200575
"CockroachDB","D",1,48,60,77.626692,4505,463806.6368,529,8781823,1735679,3012607,239,3411183.933,588288,8462335,6053887,8364031,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","A",1,57,60,2.342772,1049,299545.7245,624,20135935,943103,7213055,0,0,0,0,0,0,1077,26449782.09,36512,906493951,79364095,851967999,0,0,0,0,0,0
"CockroachDB","B",1,57,60,179.500559,11441,220763.4168,396,16031743,550911,2725887,0,0,0,0,0,0,599,1602433.923,184960,33193983,2390015,20791295,0,0,0,0,0,0
"CockroachDB","C",1,57,60,449.36971,27128,126082.8463,313,4079615,506879,1089535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","F",1,57,60,3.488083,2830,319890.5802,466,67567615,393727,6340607,0,0,0,0,0,0,1397,15123169.39,33056,802684927,889855,723517439,1397,15393811.28,33856,802684927,1199103,727187455
"CockroachDB","D",1,57,60,232.293116,13356,154443.0416,339,4358143,661503,1086463,668,2033694.275,430336,6234111,3629055,4464639,0,0,0,0,0,0,0,0,0,0,0,0
"CockroachDB","A",1,66,60,1.53471,1408,355787.4638,655,49151999,1051647,6746111,0,0,0,0,0,0,1413,52717890.42,47424,1833959423,1904639,1796210687,0,0,0,0,0,0
"CockroachDB","B",1,66,60,76.466378,4478,676905.1577,510,10919935,2181119,4050943,0,0,0,0,0,0,223,4316543.426,965120,10117119,7397375,8716287,0,0,0,0,0,0
"CockroachDB","C",1,66,60,428.313213,25829,153136.9561,313,3481599,592895,933887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
